Date,Open,High,Low,Close,Adj Close,Volume,Daily_Return,Log_Return,SMA_5,EMA_5,SMA_10,EMA_10,SMA_20,EMA_20,SMA_50,EMA_50,SMA_100,EMA_100,SMA_200,EMA_200,RSI_14,MACD,Signal_Line,ATR,ROC,OBV,Volatility_10,Volatility_20,Volatility_50,Volume_MA_20,Volume_MA_50,Volume_Oscillator,Lagged_Return_1,Lagged_Volume_1,Lagged_Return_2,Lagged_Volume_2,Lagged_Return_5,Lagged_Volume_5,Binary_Label,Multi_Class_Label
1950-01-03,16.66,16.66,16.66,16.66,16.66,1260000,-0.007742763088578686,-0.007772893910012465,16.674000200000002,16.67884516542909,16.625999999999998,16.640374717402043,16.577999900000002,16.547629233288315,16.273799959999998,16.284479388236026,15.88689998,15.93837657045213,15.273549990000001,15.60537627030891,55.29411764705878,0.13135169930414392,0.13669642747827254,0.06071428571428607,-0.05998800239952473,-1260000.0,0.005374883694222756,0.004645054201789581,0.00560539778495665,63000.0,25200.0,1.5,0.006594784172661905,0.0,0.0012004801920768582,0.0,0.0,0.0,0,1
1950-01-04,16.85,16.85,16.85,16.85,16.85,1890000,0.011404561824730042,0.011340020059674247,16.7280002,16.73589677695273,16.652,16.678488405147124,16.599999899999997,16.57642644916562,16.29219996,16.30665666712873,15.90029998,15.956428519552087,15.28319999,15.617760586027229,60.824782654863256,0.13973614039993265,0.13730437006260457,0.06928578571428622,1.0191846522781933,630000.0,0.0062065366496214655,0.004957211348039549,0.005756982456494306,157500.0,63000.0,1.5,-0.007742763088578686,1260000.0,0.006594784172661905,0.0,-0.0036057093513047755,0.0,1,3
1950-01-05,16.93,16.93,16.93,16.93,16.93,2550000,0.004747774480712064,0.004736539346673114,16.7820002,16.80059785130182,16.6919999,16.724217786029463,16.62699995,16.610100120673657,16.31279996,16.331101503711917,15.915899979999999,15.975707162729273,15.292999989999998,15.630817694623973,62.74509803921555,0.15109447868979586,0.14006239178804283,0.07285714285714308,1.6206482593037252,3180000.0,0.005990823384046349,0.004975301621022186,0.00576253387464631,285000.0,114000.0,1.5,0.011404561824730042,1890000.0,-0.007742763088578686,1260000.0,0.004825090470446325,0.0,1,2
1950-01-06,16.98,16.98,16.98,16.98,16.98,2010000,0.002953337271116352,0.0029489847381573005,16.8420002,16.860398567534546,16.7409999,16.770723643115016,16.654499949999998,16.6453286806095,16.33539996,16.35654850356635,15.93129998,15.995594149605921,15.303199990000001,15.644242394179953,64.15094339622638,0.16226019126801106,0.14450195168403648,0.07571428571428614,2.350813743218816,5190000.0,0.005747097138109259,0.0049810310778601145,0.005731854726702013,385500.0,154200.0,1.5,0.004747774480712064,2550000.0,0.011404561824730042,1890000.0,0.0012004801920768582,0.0,1,2
1950-01-09,17.08,17.08,17.08,17.08,17.08,2520000,0.005889281507655886,0.005872007477222368,16.9,16.93359904502303,16.785,16.826955708003194,16.686999949999997,16.68672594912288,16.35959996,16.384919150485317,15.94819998,16.01706753278204,15.314249989999999,15.658528539511497,68.42105263157879,0.17713634566669256,0.1510288304805677,0.08142857142857172,3.3272774756637924,7710000.0,0.00545052760593071,0.0050514421310297744,0.005766930917080684,511500.0,204600.0,1.5,0.002953337271116352,2010000.0,0.004747774480712064,2550000.0,0.006594784172661905,0.0,1,3
1950-01-10,17.030001,17.030001,17.030001,17.030001,17.030001,2160000,-0.002927341920374693,-0.002931634965922554,16.9740002,16.965733030015354,16.824000199999997,16.863873033820795,16.7175,16.719418811111176,16.381199979999998,16.410216477917267,15.96529999,16.037125621241803,15.325549995,15.672175031655662,69.64291932403499,0.18278428035891636,0.15737992045623744,0.07999992857142882,3.2747180109157004,5550000.0,0.0056804903392851675,0.00513906935590696,0.00577654603849446,619500.0,247800.0,1.5,0.005889281507655886,2520000.0,0.002953337271116352,2010000.0,-0.007742763088578686,1260000.0,0,2
1950-01-11,17.09,17.09,17.09,17.09,17.09,2630000,0.0035231354361049405,0.003516943732998436,17.0220002,17.00715535334357,16.8750002,16.90498702767156,16.7435,16.75471225767202,16.4018,16.436874655253845,15.98369999,16.057974618840976,15.336249995000001,15.686282742783467,74.99997767855147,0.18991253368918848,0.16388644310282766,0.07999992857142882,2.704333095212319,8180000.0,0.005287484188169562,0.0048679983941167255,0.005729904603557172,751000.0,300400.0,1.5,-0.002927341920374693,2160000.0,0.005889281507655886,2520000.0,0.011404561824730042,1890000.0,1,2
1950-01-12,16.76,16.76,16.76,16.76,16.76,2970000,-0.01930953774136912,-0.019498402073562435,16.9880002,16.92477023556238,16.8850002,16.878625749913095,16.749500049999998,16.755215852179447,16.413999999999998,16.449546237400753,15.998399990000001,16.071876111537193,15.345199994999998,15.696966496586617,59.574481665931536,0.16700831582898346,0.1645108176480588,0.10071414285714297,0.7211598991081702,5210000.0,0.008799248199890522,0.006719278512728192,0.006400744051905637,899500.0,359800.0,1.5,0.0035231354361049405,2630000.0,-0.002927341920374693,2160000.0,0.004747774480712064,2550000.0,0,1
1950-01-13,16.67,16.67,16.67,16.67,16.67,3330000,-0.005369928400954627,-0.00538439829123432,16.926000199999997,16.839846823708257,16.8840002,16.84069379538344,16.74950005,16.747100056733785,16.425800000000002,16.45819148299288,16.01049999,16.083720148932496,15.354099994999999,15.706648421993716,51.11114897122154,0.13998069994616102,0.15960479410767925,0.09642850000000003,0.5428226779252254,1880000.0,0.008993446073506384,0.006829325640043839,0.006419281442872384,1066000.0,426400.0,1.5,-0.01930953774136912,2970000.0,0.0035231354361049405,2630000.0,0.002953337271116352,2010000.0,0,1
1950-01-16,16.719999,16.719999,16.719999,16.719999,16.719999,1460000,0.0029993401319736712,0.002994851085238767,16.854000000000003,16.79989754913884,16.877000000000002,16.818749287131904,16.7515,16.74451900371152,16.43939996,16.46845844444414,16.02269998,16.096319730141754,15.36304999,15.716731512322138,52.857146938781405,0.12119851998159703,0.15192353928246283,0.09999985714285715,0.3601380552221034,3340000.0,0.008768580948420424,0.006861320804998426,0.00641014690072315,1139000.0,455600.0,1.5,-0.005369928400954627,3330000.0,-0.01930953774136912,2970000.0,0.005889281507655886,2520000.0,1,2
